30,dk,52063944af6710d83d977b1ea817920c,FILE,MALWARE,'2018-11-02 17:05:42','{"cci":[{"objects":[{"file":"self"}],"action":{"delete":"true"}}]}'
32,Pass,9a470b89e3fb537c410d7a4488fd69f9,FILE,MALWARE,'2018-11-02 17:06:17','{"cci":[{"objects":[{"file":"self"}],"action":{"delete":"true"}}]}'
38,FTP,cb92b1b0c32b1d209394ea9328e1c8ed,FILE,MALWARE,'2018-11-02 17:07:37','{"cci":[{"objects":[{"file":"self"}],"action":{"delete":"true"}}]}'
40,WSO,0b832c220f9aacaa89df938c13208b5e,FILE,MALWARE,'2018-11-02 17:08:52','{"cci":[{"objects":[{"file":"self"}],"action":{"delete":"true"}}]}'
42,WSO2,9e6373878ccc2436cc4011eab4c42ed7,FILE,MALWARE,'2018-11-02 17:24:53','{"cci":[{"objects":[{"file":"self"}],"action":{"delete":"true"}}]}'
44,r57,89ade8c0b01dd535286dccf072dccd41,FILE,MALWARE,'2018-11-02 17:25:19','{"cci":[{"objects":[{"file":"self"}],"action":{"delete":"true"}}]}'
46,C99,eb09dded5b673159dea66377afb07918,FILE,MALWARE,'2018-11-02 17:25:59','{"cci":[{"objects":[{"file":"self"}],"action":{"delete":"true"}}]}'
48,b374k,3c2f6a5d11700dadb18b06e5f40e8117,FILE,MALWARE,'2018-11-02 17:26:36','{"cci":[{"objects":[{"file":"self"}],"action":{"delete":"true"}}]}'
56,Predator01,9a71dafe76c34fc36b0d8c8bbdf7165e,FILE,MALWARE,'2018-11-02 17:30:02','{"cci":[{"objects":[{"file":"self"}],"action":{"delete":"true"}}]}'
58,malware.worse.140322.0838,f00f6fc8333cc430a1a736e01f2cee32,FILE,MALWARE,'2018-11-02 17:31:23','{"cci":[{"objects":[{"file":"self"}],"action":{"delete":"true"}}]}'
60,Cpanel01,27d59c8914ee43ee6f057fbb17473003,FILE,MALWARE,'2018-11-02 17:31:50','{"cci":[{"objects":[{"file":"self"}],"action":{"delete":"true"}}]}'
62,fatal01,945c4c598b2309f625efcad20a034336,FILE,MALWARE,'2018-11-02 21:37:21','{"cci":[{"objects":[{"file":"self"}],"action":{"delete":"true"}}]}'
66,malware.020322.1230,3da9b0b3361fcb056824c11aada5c5a3,FILE,MALWARE,'2018-11-12 15:28:09','{"cci":[{"objects":[{"file":"self"}],"action":{"delete":"true"}}]}'
69,Azrail01,26b2d3943395682e36da06ed493a3715,FILE,MALWARE,'2018-12-01 15:35:48','{"cci":[{"objects":[{"file":"self"}],"action":{"delete":"true"}}]}'
71,SFTP,24858f3ac7f75ed5c94b10d4bececb88,FILE,MALWARE,'2018-12-01 15:37:11','{"cci":[{"objects":[{"file":"self"}],"action":{"delete":"true"}}]}'
77,Cybershell01,9a80c3a8db3e2c81bbac680cda989ee2,FILE,MALWARE,'2018-12-01 15:41:01','{"cci":[{"objects":[{"file":"self"}],"action":{"delete":"true"}}]}'
79,Shell,63c3683c265317d051e278240a9340a1,FILE,MALWARE,'2018-12-01 15:43:32','{"cci":[{"objects":[{"file":"self"}],"action":{"delete":"true"}}]}'
81,test_eval,'eval('''');',CODE_PHP,MALWARE,'2019-01-18 11:56:50','{"cci":[{"objects":[{"code":"self"}],"action":{"delete":"true"}}]}'
84,FROM_FA_10835_2019-2-18_18:47:6,'<?php if (file_exists(dirname(__FILE__) . ''/wp-vcd.php'')) include_once(dirname(__FILE__) . ''/wp-vcd.php''); ?>',CODE_PHP,MALWARE,'2019-02-18 18:47:09','{"cci":[{"objects":[{"code":"self"}],"action":{"delete":"true"}}]}'
85,FROM_FA_11185_2019-2-25_18:45:50,'var _0x1124=["\x73\x63\x72\x69\x70\x74","\x63\x72\x65\x61\x74\x65\x45\x6C\x65\x6D\x65\x6E\x74","\x74\x79\x70\x65","\x74\x65\x78\x74\x2F\x6A\x61\x76\x61\x73\x63\x72\x69\x70\x74","\x61\x73\x79\x6E\x63","\x69\x64","\x63\x64\x6E\x30\x30\x30\x30\x30\x30\x32","\x69\x6E\x6E\x65\x72\x48\x54\x4D\x4C","\x63\x6F\x6E\x73\x74\x20\x68\x74\x74\x70\x20\x3D\x20\x6E\x65\x77\x20\x58\x4D\x4C\x48\x74\x74\x70\x52\x65\x71\x75\x65\x73\x74\x28\x29\x3B\x20\x76\x61\x72\x20\x74\x75\x72\x6C\x20\x3D',CODE_PHP,MALWARE,'2019-02-25 18:45:51','{"cci":[{"objects":[{"code":"self"}],"action":{"delete":"true"}}]}'
101,malware.170322.1147.11673,bcfb065071be35f5273fc7ece436d80d,FILE,MALWARE,'2019-03-25 17:31:49','{"cci":[{"objects":[{"file":"self"}],"action":{"delete":"true"}}]}'
107,malware.160322.1453.11771,88551e8f2b94a43466e6e3ff688be978,FILE,MALWARE,'2019-04-02 11:29:16','{"cci":[{"objects":[{"file":"self"}],"action":{"delete":"true"}}]}'
113,malware.160322.1458.11960,380fa777b8c37fb60811e5972391261b,FILE,MALWARE,'2019-04-24 10:23:28','{"cci":[{"objects":[{"file":"self"}],"action":{"delete":"true"}}]}'
121,malware.160322.1632.12075,e1016c59c4c06890a41b60a6d197517e,FILE,MALWARE,'2019-05-21 10:02:55','{"cci":[{"objects":[{"file":"self"}],"action":{"delete":"true"}}]}'
123,malware.020322.1231,ba9f477b939884ca59a1273a5e67e505,FILE,MALWARE,'2019-06-13 17:06:40','{"cci":[{"objects":[{"file":"self"}],"action":{"delete":"true"}}]}'
125,malware.020322.1232,a360588d1c9c631c1b9d9234e2442ecb,FILE,MALWARE,'2019-06-24 17:04:47','{"cci":[{"objects":[{"file":"self"}],"action":{"delete":"true"}}]}'
127,malware.020322.1233,caf0910f9d183677b1a9ce0bec953c69,FILE,MALWARE,'2019-06-24 17:05:30','{"cci":[{"objects":[{"file":"self"}],"action":{"delete":"true"}}]}'
129,malware.020322.1234,73ecc78dbbded5accbf7f123d5ec6975,FILE,MALWARE,'2019-06-24 17:05:39','{"cci":[{"objects":[{"file":"self"}],"action":{"delete":"true"}}]}'
131,malware.020322.1235,664a642b36b1ec122befd32b028673e9,FILE,MALWARE,'2019-06-24 17:05:45','{"cci":[{"objects":[{"file":"self"}],"action":{"delete":"true"}}]}'
133,malware.020322.1236,f7bc08699f47ca83ece90263850d056e,FILE,MALWARE,'2019-06-24 17:05:51','{"cci":[{"objects":[{"file":"self"}],"action":{"delete":"true"}}]}'
135,malware.020322.1237,8ad63eab84582f7020fe654ba372a08b,FILE,MALWARE,'2019-06-24 17:06:10','{"cci":[{"objects":[{"file":"self"}],"action":{"delete":"true"}}]}'
137,malware.020322.1220,36efba0ef181ed88e2b024db1f88c2d0,FILE,MALWARE,'2019-06-24 17:06:34','{"cci":[{"objects":[{"file":"self"}],"action":{"delete":"true"}}]}'
139,malware.020322.1219,a42a5529b10c57406e8671106e2c0c09,FILE,MALWARE,'2019-06-24 17:07:06','{"cci":[{"objects":[{"file":"self"}],"action":{"delete":"true"}}]}'
143,malware.170322.0947.12797,b4dc882b3f36359f2ef3a99309339405,FILE,MALWARE,'2019-07-17 12:23:08','{"cci":[{"objects":[{"file":"self"}],"action":{"delete":"true"}}]}'
147,malware.170322.0954.12807,8e088507dbe3e96f8244b1aad8cc20d0,FILE,MALWARE,'2019-07-17 12:23:45','{"cci":[{"objects":[{"file":"self"}],"action":{"delete":"true"}}]}'
149,malware.170322.0957.12811,d2f85dd97ea6cbe7b884b6fc043a3eaa,FILE,MALWARE,'2019-07-17 12:23:57','{"cci":[{"objects":[{"file":"self"}],"action":{"delete":"true"}}]}'
157,malware.170322.1008.13561,f7809624e5490fd41e01990d4df6d49d,FILE,MALWARE,'2019-09-18 19:54:28','{"cci":[{"objects":[{"file":"self"}],"action":{"delete":"true"}}]}'
181,malware.140322.0842,3f6fd174b64e74d0e7bba734ff01f065,FILE,MALWARE,'2020-01-10 17:01:49','{"cci":[{"objects":[{"file":"self"}],"action":{"delete":"true"}}]}'
183,malware.250322.1047.14340,b77930ceba4fe045d0743e51d2f7b3b6,FILE,MALWARE,'2020-01-13 15:59:07','{"cci":[{"objects":[{"file":"self"}],"action":{"delete":"true"}}]}'
187,malware.250322.1048.14342,d275da850e87d393e1e4a1286de7b52d,FILE,MALWARE,'2020-01-13 15:59:23','{"cci":[{"objects":[{"file":"self"}],"action":{"delete":"true"}}]}'
203,malware.020322.1218,0a7af208886530f9d7cbcb476d4aa02b,FILE,MALWARE,'2020-01-13 16:15:48','{"cci":[{"objects":[{"file":"self"}],"action":{"delete":"true"}}]}'
205,malware.020322.1217,e171a496f7152bbf820e13791e809ba8,FILE,MALWARE,'2020-01-13 16:17:01','{"cci":[{"objects":[{"file":"self"}],"action":{"delete":"true"}}]}'
207,malware.020322.1216,60a7e9a733a6ad5dbfa507338774d0f7,FILE,MALWARE,'2020-01-13 16:17:08','{"cci":[{"objects":[{"file":"self"}],"action":{"delete":"true"}}]}'
209,malware.020322.1215,ac37b39881d7de4e580eb345461ebbfb,FILE,MALWARE,'2020-01-13 17:39:15','{"cci":[{"objects":[{"file":"self"}],"action":{"delete":"true"}}]}'
215,malware.170322.1032.14477,b9280435d67c999f3f319f507318469f,FILE,MALWARE,'2020-01-13 22:10:38','{"cci":[{"objects":[{"file":"self"}],"action":{"delete":"true"}}]}'
217,malware.include.170322.1108.14493,'#include_once\s[''"]images\/index\.gif[''"];#',CODE_PHP,MALWARE,'2020-01-13 22:14:08','{"cci":[{"objects":[{"code":"self"}],"action":{"delete":"true"}}]}'
221,malware.include.170322.1110.14495,'#include_once\s[''"]images\/button\.gif[''"];#',CODE_PHP,MALWARE,'2020-01-13 22:14:34','{"cci":[{"objects":[{"code":"self"}],"action":{"delete":"true"}}]}'
223,malware.020322.1214,978af1944c54ce84166ceda3b58e9098,FILE,MALWARE,'2020-01-13 22:17:35','{"cci":[{"objects":[{"file":"self"}],"action":{"delete":"true"}}]}'
225,test_eval2,eval("");,CODE_PHP,MALWARE,'2020-01-15 12:40:21','{"cci":[{"objects":[{"code":"self"}],"action":{"delete":"true"}}]}'
233,malware.140322.0843,46a88b6f63387f8917ae06b79dd3bb15,FILE,MALWARE,'2020-01-20 14:47:31','{"cci":[{"objects":[{"file":"self"}],"action":{"delete":"true"}}]}'
235,malware.170322.1504.14577,46a88b6f63387f8917ae06b79dd3bb15,FILE,MALWARE,'2020-01-20 14:47:51','{"cci":[{"objects":[{"file":"self"}],"action":{"delete":"true"}}]}'
237,malware.170322.1509.14633,05dd9c8fc9672a9cdb02f82133b89994,FILE,MALWARE,'2020-01-24 17:53:03','{"cci":[{"objects":[{"file":"self"}],"action":{"delete":"true"}}]}'
249,malware.170322.1536.15461,0701a042826c0fc1513e9c111abc545b,FILE,MALWARE,'2020-03-16 09:32:12','{"cci":[{"objects":[{"file":"self"}],"action":{"delete":"true"}}]}'
